,comments
0,还蛮好听的
1,圆满结局
2,你看这个面它又长又宽就像这个碗它又大又圆
3,厉害
4,电鳗
5,对不起亦凡哥
6,吴亦凡对不起
7,准备
8,你看这个面它又长又宽就像这个碗它又大又圆
9,真心话，还挺好听的耶
10,吴亦凡真男人，对不起
11,非凡锅对不起
12,凡哥我错了
13,凡哥对不起
14,非凡哥，
15,对不起凡哥
16,你看这个面它又长又宽就像这个碗它又大又圆
17,真的很好听啊
18,忍不住扭起来
19,都是同行的衬托
20,B站填词大神太多了
21,凡哥对不起
22,吴亦凡 ，对不起
23,吴亦凡对不起
24,好可爱
25,6666
26,对不起
27,500w助攻
28,凡哥我错了
29,凡哥我叫你一声哥，对不起了
30,1.25好听
31,前方注入灵魂
32,可爱呀
33,对不起
34,听起来好像告白气球！节奏也有点像
35,凡哥 对不起
36,吴亦凡NB
37,凡哥对不起
38,凡哥对不起
39,这才是会处世的偶像！
40,煎蛋哥啊
41,各位试一下1.25倍 真的棒 自带电音
42,感觉好多暗意啊233333
43,凡哥对不起
44,向大佬低头，凡哥。我错了
45,对唔住，吔凡哥！
46,路转粉！！！
47,66666666
48,等等，肩上扛着电鳗??
49,满分满分满分
50,蔡徐坤进来挨打 
51,srk
52,对不起
53,路转粉啊啊啊
54,1.25好好听
55,1.5好听啊
56,吴亦凡，对不起
57,吴亦凡对不起
58,吴亦凡对不起
59,黑转粉安排上了
60,全程无码，良心剧作
61,唔住，吔凡哥
62,呀呀呀
63,凡哥牛逼
64,名场面
65,一万七
66,非凡锅对不起
67,亦凡真男人
68,凡哥对8起
69,卧槽，以后不打吴亦凡了
70,这个气度我佩服，以前黑你对不起
71,给凡哥道歉
72,我来晚了
73,吴亦凡，对不起
74,凡哥对不起
75,蔡徐坤进来挨打
76,1.5倍神作
77,真滴好听
78,吴亦凡，我对不起你
79,凡哥我错了
80,真男人
81,⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄羞羞
82,注入灵魂
83,凡哥对不起
84,电鳗对不起
85,吴亦凡牛逼
86,开头见
87,cxk进来挨打
88,凡凡，对不起
89,凡哥对不起辣
90,哇，这里绝了
91,要是某些流量明星也能像凡哥一样就好了
92,可爱
93,蔡徐坤进来挨打
94,111111111111111111111111111111111111
95,表白吴亦凡
96,亦凡牛逼
97,你们这群人，呵呵
98,51凡对8起
99,吴亦凡对不起
100,1.5好听啊，真的好听
101,51凡nb
102,有趣，喜欢上了
103,对唔住，吴亦凡
104,对不起 51凡
105,凡哥对不起
106,没黑过，想说抱歉
107,洗脑停不下来了
108,对不起凡哥我们错了！！！！
109,对不起吴亦凡
110,凡哥对不起
111,凡哥真男人
112,吴亦凡对不起
113,凡哥真男人
114,吴亦凡对不起
115,电音233
116,对不起凡凡
117,凡凡对不起
118,凡哥！！
119,"对不起,凡哥"
120,凡哥凡哥呀  我的老吴
121,饿了
122,牛逼
123,1.2好听
124,1.25才是原版吧
125,吴亦凡对不起
126,哈哈哈哈哈哈哈哈
127,凡哥对不起
128,凡哥对不起
129,吴亦凡对不起
130,吴亦凡对不起我错了
131,1.25真心好听
132,对不起，凡哥
133,1.25
134,凡哥对不起
135,凡哥对不起
136,来了来了
137,~
138,凡哥，对唔住
139,吴亦凡对不起
140,这次是情商
141,好听
142,好听
143,凡哥我错了
144,吴亦凡对不起！！！！！
145,凡哥代言NBA！！！
146,吴亦凡牛逼
147,大碗宽面，开吃！
148,满分
149,有没有发现？b站 对明星影响力越来越大了。
150,没调音师不能听系列
151,哈哈，扛着电鳗
152,…
153,66666666
154,凡哥对不起
155,凡哥对不起
156,你看这个面，它又长又宽，就像这个碗，它又大又圆
157,对不起亦凡哥
158,凡哥对不起
159,对不起，吴亦凡
160,凡哥对不起
161,1.25倍神曲！！！
162,吴亦凡对不起
163,拿电鳗厉害了
164,1.25实名推荐
165,菜虚坤进来挨打
166,好听呀
167,我是弹幕
168,凡哥真男人都是我们的错
169,道歉啊愣着干嘛（手动狗头）
170,吴亦凡对不起，我是你粉丝了
171,凡哥对不起！
172,弹幕？
173,哈哈哈哈哈哈哈哈注入灵魂
174,对不起亦凡锅
175,1.25!!!!!!!!!
176,注入灵魂！！！
